title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Avatar,Action,185.070892,237,2788,2551,12/10/2009,162,7.2,12114,Avatar Collection
Star Wars: The Force Awakens,Action,31.626013,245,2068,1823,12/15/2015,136,7.5,7993,Star Wars Collection
Titanic,Drama,26.88907,200,1845,1645,11/18/1997,194,7.5,7770,
The Avengers,Science Fiction,89.887648,220,1520,1300,4/25/2012,143,7.4,12000,The Avengers Collection
Jurassic World,Action,32.790475,150,1514,1364,6/9/2015,124,6.5,8842,Jurassic Park Collection
Furious 7,Action,27.275687,190,1506,1316,4/1/2015,137,7.3,4253,The Fast and the Furious Collection
Avengers: Age of Ultron,Action,37.37942,280,1405,1125,4/22/2015,141,7.3,6908,The Avengers Collection
Harry Potter and the Deathly Hallows: Part 2,Family,24.990737,125,1342,1217,7/7/2011,130,7.9,6141,Harry Potter Collection
Frozen,Animation,24.248243,150,1274,1124,11/27/2013,102,7.3,5440,Frozen Collection
Beauty and the Beast,Family,287.253654,160,1263,1103,3/16/2017,129,6.8,5530,
The Fate of the Furious,Action,48.573287,250,1239,989,4/12/2017,136,6.8,3803,The Fast and the Furious Collection
Iron Man 3,Action,23.721243,200,1215,1015,4/18/2013,130,6.8,8951,Iron Man Collection
Minions,Family,547.488298,74,1157,1083,6/17/2015,91,6.4,4729,Despicable Me Collection
Captain America: Civil War,Adventure,145.882135,250,1153,903,4/27/2016,147,7.1,7462,Captain America Collection
Transformers: Dark of the Moon,Action,4.503505,195,1124,929,6/28/2011,154,6.1,3351,Transformers Collection
The Lord of the Rings: The Return of the King,Adventure,29.324358,94,1119,1025,12/1/2003,201,8.1,8226,The Lord of the Rings Collection
Skyfall,Action,20.309585,200,1109,909,10/25/2012,143,6.9,7718,James Bond Collection
Transformers: Age of Extinction,Science Fiction,18.495599,210,1091,881,6/25/2014,165,5.8,3136,Transformers Collection
The Dark Knight Rises,Action,20.58258,250,1085,835,7/16/2012,165,7.6,9263,The Dark Knight Collection
Toy Story 3,Animation,16.96647,200,1067,867,6/16/2010,103,7.6,4710,Toy Story Collection
Pirates of the Caribbean: Dead Man's Chest,Adventure,29.455314,200,1066,866,6/20/2006,151,7,5380,Pirates of the Caribbean Collection
Rogue One: A Star Wars Story,Action,36.567575,200,1056,856,12/14/2016,133,7.4,5111,Star Wars Collection
Pirates of the Caribbean: On Stranger Tides,Adventure,27.88772,380,1046,666,5/14/2011,136,6.4,5068,Pirates of the Caribbean Collection
Finding Dory,Adventure,14.477677,200,1029,829,6/16/2016,97,6.8,4333,Finding Nemo Collection
Alice in Wonderland,Family,17.285093,200,1025,825,3/3/2010,108,6.4,4773,Alice in Wonderland Collection
Zootopia,Animation,26.024868,150,1024,874,2/11/2016,108,7.7,4961,
The Hobbit: An Unexpected Journey,Adventure,23.253089,250,1021,771,11/26/2012,169,7,8427,The Hobbit Collection
Despicable Me 3,Action,36.631519,80,1020,940,6/15/2017,96,6.2,2002,Despicable Me Collection
The Dark Knight,Drama,123.167259,185,1005,820,7/16/2008,152,8.3,12269,The Dark Knight Collection
Harry Potter and the Philosopher's Stone,Adventure,38.187238,125,976,851,11/16/2001,152,7.5,7188,Harry Potter Collection
Despicable Me 2,Animation,24.82355,76,971,895,6/25/2013,98,7,4729,Despicable Me Collection
The Jungle Book,Family,17.432758,175,967,792,4/7/2016,106,6.7,2977,
Pirates of the Caribbean: At World's End,Adventure,31.363664,300,961,661,5/19/2007,169,6.9,4627,Pirates of the Caribbean Collection
The Hobbit: The Desolation of Smaug,Adventure,20.644776,250,958,708,12/11/2013,161,7.6,4633,The Hobbit Collection
The Hobbit: The Battle of the Five Armies,Action,31.718977,250,956,706,12/10/2014,144,7.1,4884,The Hobbit Collection
Harry Potter and the Deathly Hallows: Part 1,Adventure,23.300362,250,954,704,10/17/2010,146,7.5,5708,Harry Potter Collection
Finding Nemo,Animation,25.497794,94,940,846,5/30/2003,100,7.6,6292,Finding Nemo Collection
Harry Potter and the Order of the Phoenix,Adventure,21.3643,150,938,788,6/28/2007,138,7.4,5633,Harry Potter Collection
Harry Potter and the Half-Blood Prince,Adventure,19.083723,250,934,684,7/7/2009,153,7.4,5435,Harry Potter Collection
The Lord of the Rings: The Two Towers,Adventure,29.423537,79,926,847,12/18/2002,179,8,7641,The Lord of the Rings Collection
Star Wars: Episode I - The Phantom Menace,Adventure,15.649091,115,924,809,5/19/1999,136,6.4,4526,Star Wars Collection
Shrek 2,Adventure,16.22986,150,920,770,5/19/2004,93,6.7,3082,Shrek Collection
Jurassic Park,Adventure,8.863776,63,920,857,6/11/1993,127,7.6,4956,Jurassic Park Collection
Harry Potter and the Goblet of Fire,Adventure,24.903058,150,896,746,11/5/2005,157,7.5,5758,Harry Potter Collection
Spider-Man 3,Fantasy,27.614265,258,891,633,5/1/2007,139,5.9,3687,Spider-Man Collection
Ice Age: Dawn of the Dinosaurs,Animation,12.980624,90,887,797,6/29/2009,94,6.5,2330,Ice Age Collection
Spectre,Action,24.926577,245,881,636,10/26/2015,148,6.3,4552,James Bond Collection
Harry Potter and the Chamber of Secrets,Adventure,29.741452,100,877,777,11/13/2002,161,7.4,5966,Harry Potter Collection
Ice Age: Continental Drift,Animation,13.26958,95,877,782,6/26/2012,88,6.2,2731,Ice Age Collection
The Secret Life of Pets,Animation,11.01395,75,875,800,6/18/2016,87,5.9,3536,The Secret Life of Pets Collection
Batman v Superman: Dawn of Justice,Action,31.435879,250,873,623,3/23/2016,151,5.7,7189,Man of Steel Collection
The Lord of the Rings: The Fellowship of the Ring,Adventure,32.070725,93,871,778,12/18/2001,178,8,8892,The Lord of the Rings Collection
Guardians of the Galaxy Vol. 2,Action,185.330992,200,863,663,4/19/2017,137,7.6,4858,Guardians of the Galaxy Collection
Inside Out,Drama,23.985587,175,858,683,6/9/2015,94,7.9,6737,
